city,province,country,river,lake,sea
Омдурман,аль-Хартум,СУД,Сине-фиолетовый,,
Шишоу,Хубэй,ТЖ,Янцзе,,
Хай Хай,Газа,МOC,Лимпопо,,Индийский океан
Мацuyама,Эхиме,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",,,Тихоокеанский океан
Хальмстад,Халланд,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",,,Каттегат
Брайтон,Восточный Сассекс,Хорошо.,,,Канал
Джонкопинг,Джонкопинг,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",,Ваеттерн,
Барселона,Каталанско,"Добро пожаловать! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести на русский язык.",,,Средиземное море
Хульянь,Тайвань,RC,,,Тихоокеанский океан
Бессан,Франш-Конте,f,Двойной,,
Оломоуц,Северомосковский,"Извините, но я не понимаю ваш запрос. Можете ли вы уточнить, что именно вам нужно перевести?",Март,,
Манама,Бахрейн,BRN,,,Персидский залив
Неаполь,Кампания,я,,,Средиземное море
Руан,Высокая Нормандия,f,Его,,
Браззавиль,Конго,КРБ,Заир,,
Перак,Пулау Пинанг,МАЛ,,,Малаккийский пролив
Оита,Оита,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",,,Ямальное море
Японская городка в префектуре Канагава,Кана가와,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",,,Тихоокеанский океан
Западный остров,Кокосовые острова,КОКО,,,Индийский океан
Дакка,Бангладеш,БД,Ганг,,
Шарлотта Амалиэ,Биргинские острова,ВИРГ,,,Карибское море
Реггио-ди-Калабрия,Калабрия,я,,,Средиземное море
Вена,Вена,А,Дунай,,
Влора,Албания,АЛ,,,Средиземное море
Мулмэйн,Понедельник,МЯ,Здравствуйте,,Аندаманское море
Ки́нсас-Сити,Ки́нсас-Сити,ЗРЕ,Заир,,
Сент-Луис,Миссури,США,Миссисипи,,
Кальмар,Кальмар,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",,,Балтийское море
Мьичина,Кача́х,МЯ,Иравади,,
Банда-Ачех,Индонезия,Ри,,,Аندаманское море
Стэмфорд,Коннектикут,США,,,Атлантический океан
Порт-Судан,Аш-Шаркия,СУД,,,Красный море
Нижний Новгород,Нижняя Новгородская область,Hello,Волга,,
Громовой залив,Онтарио,КЭН,,Озеро Супериор,
Оран,Алжир,ДЗ,,,Средиземное море
Банноксибайе,Индонезия,Ри,,,Индийский океан
Шаши,Хубэй,ТЖ,Янцзе,,
Вэйхай,Шаньдун,ТЖ,,,Жёлтое море
Окаяма,Окаяма,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",,,Тихоокеанский океан
Пусан,Южная Корея,РओК,,,Ямальное море
Сагаинг,Сагаинг,МЯ,Иравади,,
Порт-Морсби,Папуа-Новая Гвинея,PNG,,,Тихоокеанский океан
Вадсёе,Финнмарк,"Okay, I will only provide translations without any additional text or output.",,,Баренцево море
Момбаса,Побережье,EАК,,,Индийский океан
Флорианополис,Сан-Катарина,БР,,,Атлантический океан
Аэропорт,Иркутская область,Hello,Ангара,,
Ливорно,Тоскана,я,,,Средиземное море
Бени Суиф,Бени Суиф,ЕТ,Нил,,
Эреба,Эреба,ТР,Карасу,,
Черкассы,Черкасс,УА,Днепр,,
Амбон,Индонезия,Ри,,,Индийский океан
Картахена,Мурсия,"Добро пожаловать! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести на русский язык.",,,Средиземное море
Город Мадеро,Тамаулипас,Мексика,,,Мексиканский залив
Роусон,Чубут,А,,,Атлантический океан
Спрингфилд,Массачусетс,США,Река Коннектикут,,
Конкорд,Нью-Гэмпшир,США,Мершимак-Ривер,,
Гоаати,Ассам,Индия,Брахмапутра,,
Хевр,Высокая Нормандия,f,Его,,Канал
