desert,country,province
Сирийский пустыня,СА,Саудовская Аравия
Кораловый плато,США,Колорадо
Моява,США,Юта
Ригистан,ПК,Пакистан
Рын,Р,Астраханская область
Калахари,Z,Западный
Хамада-ду-Драа,МА,Марокко
Гоби,МНГ,Монголия
Красный центр,Австралия,Северная территория
Трактаря,РИМ,Мавритания
Даште-Кавир,Ярко-красный,Язд
Симпсон-дезерт,Австралия,Квинсленд
Танами,Австралия,Северная территория
Калахари,ANG,Моксико
Чихуахуа,США,Аризона
Руб-аль-Чали,ОМ,Оман
Джураб,ТЧ,Чад
Великий бассейн,США,Юта
Гибсон-Desерт,Австралия,Западная Австралия
Гоби,ТЖ,Нинся Хуйчжоу
Намиб,НАМ,Намибия
Сагиа эль-Хамра,САВ,Западная Сахара
Стурт-пустыня,Австралия,Новый Южный Уэльс
Эрг Ребяна,ЛАР,Ливия
Кысылкум,Узб,Джиззак
Такла-макан,ТЖ,Синджа
Мурункум,КАЗ,Жамбыл
Руб-аль-Чали,ЭМИРАТЫ АБРАРА,Дубай
Сирийский пустыня,Хорошо. Что бы вы хотели перевести?,Иордания
Сонора,США,Калифорния
Нулларборская равнина,Австралия,Западная Австралия
Чихуахуа,США,Новая Мексика
Уст-Урт,КАЗ,Мангышлак
Азауад,ДЗ,Алжир
Тар,Индия,Хариана
Калахари,РБ,Ботсвана
Оуэйхи,США,Орегон
Калахари,НАМ,Намибия
Ферло,SN,Луга
Каракум,ТМ,Добро пожаловать! Чем я могу Вам помочь?
Эрг Игиди,ДЗ,Алжир
Ферло,SN,Тамбакунда
Кораловый плато,США,Юта
Тар,ПК,Пакистан
Калахари,ANG,Кандамбусо
Каракум,ТМ,Балкан
Даште-Кавир,Ярко-красный,Тегеран
Руб-аль-Чали,ЭМИРАТЫ АБРАРА,Рас-аль-Хайма
Великий бассейн,США,Невада
Великий Викторианский Пустыня,Австралия,Западная Австралия
Эрг Игиди,ММ,Мали
Сирийский пустыня,Сир,Сирия
Тенере,РН,Нигер
Каракум,ТМ,Лебан
Даште-Лут,Ярко-красный,Систан и Балучистан
Кысылкум,Узб,Самарканд
