season,slot,strongseed,weakseed
2003,R1W1,В01,В16
2007,R1W1,В01,В16
2008,R1W1,В01,В16
2009,R1W1,В01,В16
2010,R1W1,В01,В16
2011,R1W1,В01,В16
2012,R1W1,В01,В16
2013,R1W1,В01,В16
2014,R1W1,В01,В16
2003,R1W2,В02,В15
2007,R1W2,В02,В15
2008,R1W2,В02,В15
2009,R1W2,В02,В15
2010,R1W2,В02,В15
2011,R1W2,В02,В15
2012,R1W2,В02,В15
2013,R1W2,В02,В15
2014,R1W2,В02,В15
2003,R1W3,"Извините, но я не понимаю ваш запрос. Можете ли вы предоставить дополнительную информацию или контекст для перевода?",W14
2007,R1W3,"Извините, но я не понимаю ваш запрос. Можете ли вы предоставить дополнительную информацию или контекст для перевода?",W14
2008,R1W3,"Извините, но я не понимаю ваш запрос. Можете ли вы предоставить дополнительную информацию или контекст для перевода?",W14
2009,R1W3,"Извините, но я не понимаю ваш запрос. Можете ли вы предоставить дополнительную информацию или контекст для перевода?",W14
2010,R1W3,"Извините, но я не понимаю ваш запрос. Можете ли вы предоставить дополнительную информацию или контекст для перевода?",W14
2011,R1W3,"Извините, но я не понимаю ваш запрос. Можете ли вы предоставить дополнительную информацию или контекст для перевода?",W14
2012,R1W3,"Извините, но я не понимаю ваш запрос. Можете ли вы предоставить дополнительную информацию или контекст для перевода?",W14
2013,R1W3,"Извините, но я не понимаю ваш запрос. Можете ли вы предоставить дополнительную информацию или контекст для перевода?",W14
2014,R1W3,"Извините, но я не понимаю ваш запрос. Можете ли вы предоставить дополнительную информацию или контекст для перевода?",W14
2003,R1W4,W04,13
2007,R1W4,W04,13
2008,R1W4,W04,13
2009,R1W4,W04,13
2010,R1W4,W04,13
2011,R1W4,W04,13
2012,R1W4,W04,13
2013,R1W4,W04,13
2014,R1W4,W04,13
