name,country,population,area,capital,capprov
Арад,"Okay, I will only provide translations from now on. Please provide me with the text you would like me to translate.",507000,7652.0,Арад,Арад
Нигде,Транслитер: ТР,305861,7312.0,Нигде,Нигде
Баха-Калифорния,Мексика,2112140,70113.0,Мексикали,Баха-Калифорния
Аль-Басра,Ирак,872211,19070.0,Аль-Басра,Аль-Басра
Агуаскалиентес,Мексика,862720,5589.0,Агуаскалиентес,Агуаскалиентес
Ахол,TM,416400,0.0,Ашгабат,Ахол
Восточная Капская область,РСА,5865000,170616.0,Бишо,Восточная Капская область
Яманаси,"Добро пожаловать в чат-бот Coral! Я готов помочь вам с переводом текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести.",881996,4463.0,Кофу,Яманаси
Веракрус,Мексика,6737324,72815.0,Ялапа,Веракрус
Хорасан,ИР,6013200,313337.0,Машхад,Хорасан
Искусственный интеллект,Ч,14750,172.0,Аппенцелль,Искусственный интеллект
Лихтенштейн,ФЛ,31122,,Вадуц,Лихтенштейн
El-Вади эль-Джадид,ET,126000,376505.0,Ель-Харга,El-Вади эль-Джадид
Санлиурфа,Транслитер: ТР,1001455,18584.0,Урфа,Санлиурфа
Готланд,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",57383,3140.0,Висби,Готланд
Фианарантсао,РМ,2209700,102373.0,Фианарантсао,Фианарантсао
Сент-Луис,Н/Д,680200,44127.0,Сент-Луис,Сент-Луис
Миссии,РП,788915,29801.0,Поса́ды,Миссии
Квадратная область,УЗБ,1812000,28400.0,Карши,Квадратная область
Гернси,ГБГ,62920,,Сейнт-Питер-Порт,Гернси
Апуримак,ПЭ,409630,20895.0,Абанкасай,Апуримак
Мерида,В,680503,11300.0,Мерида,Мерида
Южная Австралия,Австралия,1474000,984377.0,Аделаида,Южная Австралия
Гуэрро,Мексика,2916567,63749.0,Чилпансинго,Гуэрро
Границы,GB,105700,4698.0,Ньютон-Сент-Босвеллс,Границы
Северо-Восточный,EAI,372000,126090.0,Гарисса,Северо-Восточный
Риоха,Здравствуйте! Как я могу вам помочь?,263437,5045.0,Логорно,Риоха
Северо-Западный,ЧЗ,1190000,7819.0,Устие над Лабем,Северо-Западный
Орду,Транслитер: ТР,830105,6001.0,Орду,Орду
Фолклендские острова,Фолк,3140,,Станлис,Фолклендские острова
Аихи,"Добро пожаловать в чат-бот Coral! Я готов помочь вам с переводом текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести.",6868336,5138.0,Нагоя,Аихи
Республика Хакасия,"""R"" переводится с английского как ""R"".",585800,61900.0,Абан,Республика Хакасия
Фукуока,"Добро пожаловать в чат-бот Coral! Я готов помочь вам с переводом текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести.",4933393,4961.0,Фукуока,Фукуока
Мать Богов,ПЭ,74306,85182.0,Пуэрто-Малдонадо,Мать Богов
Матруха,ET,182000,212112.0,Марса Матрух,Матруха
Аш-Шамали́я,"Это что-то вроде ""sud"" по-русски?",1083024,476040.0,Ад Дамир,Аш-Шамали́я
Зимбабве,ЗВ,11271314,,ГарARE,Зимбабве
Тайн и Уэр,GB,1125600,540.0,Ньюкасл-апон-Тайн,Тайн и Уэр
Клуй,"Okay, I will only provide translations from now on. Please provide me with the text you would like me to translate.",743000,6650.0,Клуж-Напока,Клуй
Дубай,ОАЭ,419000,419.0,,
Оланчо,ХАК,318000,24351.0,Джутигали,Оланчо
Берлин,Да,3472009,889.0,Берлин,Берлин
Белгородская область,"""R"" переводится с английского как ""R"".",1469100,27100.0,Белгород,Белгородская область
Дренте,"Ok, I'm ready to translate from English to Russian. Please provide the text you would like me to translate.",454864,2652.0,Ассен,Дренте
Мизорам,Индия,689756,21081.0,Айжал,Мизорам
