playerid,award,year,lgid,note,pos
abdulka01,Защитная команда года НФЛ,1969,NBA,,
abdulka01,Вторая сборная всех звезд НБА,1969,NBA,,С
abdulka01,Роки года,1969,NBA,,
abdulka01,Защитная команда года НФЛ,1970,NBA,,
abdulka01,"Ваша просьба не совсем ясна. Можете ли вы предоставить контекст или дополнительные детали относительно того, что именно вы хотите перевести?",1970,NBA,,С
abdulka01,Финалы MVP,1970,NBA,,
abdulka01,Самый ценный игрок,1970,NBA,,
abdulka01,"Ваша просьба не совсем ясна. Можете ли вы предоставить контекст или дополнительные детали относительно того, что именно вы хотите перевести?",1971,NBA,,С
abdulka01,Самый ценный игрок,1971,NBA,,
abdulka01,"Ваша просьба не совсем ясна. Можете ли вы предоставить контекст или дополнительные детали относительно того, что именно вы хотите перевести?",1972,NBA,,С
abdulka01,Защитная команда года,1973,NBA,,
abdulka01,"Ваша просьба не совсем ясна. Можете ли вы предоставить контекст или дополнительные детали относительно того, что именно вы хотите перевести?",1973,NBA,,С
abdulka01,Самый ценный игрок,1973,NBA,,
abdulka01,Защитная команда года,1974,NBA,,
abdulka01,Защитная команда года НФЛ,1975,NBA,,
abdulka01,"Ваша просьба не совсем ясна. Можете ли вы предоставить контекст или дополнительные детали относительно того, что именно вы хотите перевести?",1975,NBA,,С
abdulka01,Самый ценный игрок,1975,NBA,,
abdulka01,Защитная команда года НФЛ,1976,NBA,,
abdulka01,"Ваша просьба не совсем ясна. Можете ли вы предоставить контекст или дополнительные детали относительно того, что именно вы хотите перевести?",1976,NBA,,С
abdulka01,Самый ценный игрок,1976,NBA,,
abdulka01,Защитная команда года НФЛ,1977,NBA,вязка,
abdulka01,Вторая сборная всех звезд НБА,1977,NBA,,С
abdulka01,Защитная команда года,1978,NBA,,
abdulka01,Вторая сборная всех звезд НБА,1978,NBA,,С
abdulka01,Защитная команда года,1979,NBA,,
abdulka01,"Ваша просьба не совсем ясна. Можете ли вы предоставить контекст или дополнительные детали относительно того, что именно вы хотите перевести?",1979,NBA,,С
abdulka01,Самый ценный игрок,1979,NBA,,
abdulka01,Защитная команда года,1980,NBA,,
abdulka01,"Ваша просьба не совсем ясна. Можете ли вы предоставить контекст или дополнительные детали относительно того, что именно вы хотите перевести?",1980,NBA,,С
abdulka01,Вторая сборная всех звезд НБА,1982,NBA,,С
abdulka01,Защитная команда года НФЛ,1983,NBA,,
abdulka01,"Ваша просьба не совсем ясна. Можете ли вы предоставить контекст или дополнительные детали относительно того, что именно вы хотите перевести?",1983,NBA,,С
abdulka01,Вторая сборная всех звезд НБА,1984,NBA,,С
abdulka01,Финалы MVP,1984,NBA,,
abdulka01,"Ваша просьба не совсем ясна. Можете ли вы предоставить контекст или дополнительные детали относительно того, что именно вы хотите перевести?",1985,NBA,,С
abdulma02,Самый прогрессирующий игрок,1992,NBA,,
adamsal01,Роки года,1975,NBA,,
aingeda01,Исполнительный директор года,2007,NBA,,
aldrila01,Все-НБА третий состав,2010,NBA,,"Добро пожаловать в Чат-бот Coral! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст для перевода."
allenra02,Все-НБА третий состав,2000,NBA,,"Добро пожаловать в Coral! Я готов помочь вам с переводом любого текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я предоставлю точный и естественный перевод."
allenra02,Вторая сборная всех звезд НБА,2004,NBA,,"Добро пожаловать в Coral! Я готов помочь вам с переводом любого текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я предоставлю точный и естественный перевод."
