film_id,title,description,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features,last_update
61,УКАСЛЫЙ СПРЯЙ,"Ритменная демонстрация композитора и лосося, которым нужно потопить робота в заброшенном шахте",2006,1,,5,4.99,175,28.99,"Добро пожаловать в Coral! Я могу помочь вам с переводом текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я сделаю это для вас.","Трейлеры, комментарии",2006-02-15 04:03:42
79,БЛЕДНАЯ ПОЛИРОЧКА,"Мысленный характерный портрет фризби и кондитера-пастушника, которые должны сражаться с стоматологом в первой пилотируемой космической станции.",2006,1,,5,0.99,114,10.99,R,Трейлеры и кадры за кулисами,2006-02-15 04:03:42
98,Яркие встречи,"Фатальная история о лесорубе и феминистке, которые должны победить студента в джет-боате.",2006,1,,4,4.99,73,12.99,R,Трейлеры,2006-02-15 04:03:42
143,Холодное удача,"Нелюбезное письмо лодки и технического писателя, который должен сражаться с акулой в канадских скалах",2006,1,,6,0.99,142,17.99,PG,"Трейлеры, комментарии, удаленные сцены",2006-02-15 04:03:42
172,Конехедсы смочки,"Трогательная история женщиныста и композитора, которые должны преследовать мужа в Нигерии",2006,1,,7,4.99,112,12.99,НЕПристойно для зрителей младше 17 лет,"Удалённые сцены, закадровые моменты",2006-02-15 04:03:42
173,СЧЕТАНИЕ БРАЗОВ,"Это была яркая история о машине и мальчике, которые должны были сразиться с техническим писателем в шаре. Машина, полная решимости, мчалась по дороге, пока не встретила мальчика, который сидел под деревом. Мальчик, с любопытством глядя на машину, спросил: «Куда ты направляешься?» Машина ответила: «Я иду на встречу техническому писателю, чтобы принять его вызов». Мальчик, удивленный, спросил: «Почему ты принимаешь вызов технического писателя? Ты же машина!» Машина, с уверенностью в своих силах, ответила: «Я хочу доказать, что я способна на больше, чем просто перевозка людей. Я хочу показать, что могу быть умной и решительной». Мальчик, поддержав машину, сказал: «Ты можешь это сделать! Просто будь осторожна и следуй своему пути». Машина поблагодарила мальчика и продолжила свой путь. Она мчалась вперед, преодолевая препятствия на своем пути. Но внезапно она столкнулась с техническим писателем, который сидел в шаре и ждал ее. Он сказал: «Я ждал тебя, машина. Ты должна победить меня в этом вызове». Машина, не теряя присутствия духа, ответила: «Я готова принять твой вызов. Давай начнем». Они вступили в сражение, используя свои уникальные навыки и способности. Технический писатель использовал свое мастерство в написании текстов, создавая сложные описания и аргументы. В то же время машина применяла свою силу и скорость, маневрируя вокруг шара технический писатель. Сражение было напряженным и захватывающим, каждый демонстрировал свои таланты и способности. В конце концов, машина, используя свою решительность и упорство, смогла победить технического писателя. Она доказала, что способна на большее, чем просто перевозка людей. Мальчик, наблюдая за сражением, был восхищен настойчивостью машины. Он подпрыгнул и крикнул: «Ты сделала это! Ты доказала свою силу!» Машина, победившая, поблагодарила мальчика за поддержку. Она сказала: «Это была отличная битва. Я рада, что смогла доказать свою ценность». Мальчик улыбнулся и сказал: «Ты всегда можешь рассчитывать на мою поддержку. Теперь продолжай свой путь и показывай всем, на что ты способна!» Машина, с гордостью в сердце, продолжила свое путешествие, вдохновленная победой и поддержкой мальчика. Она знала, что сможет преодолеть любые препятствия на своем пути. И так машина и мальчик стали героями в этой яркой истории о силе и решимости.",2006,1,,7,4.99,65,25.99,R,За кадром,2006-02-15 04:03:42
179,ПЩЕННЫЕ ОРЕХИ,"Тавтодрама сумасшедшего ученого и человека, который должен сбежать от пионера в заброшенном шахтовом стволе",2006,1,,4,4.99,173,14.99,"Добро пожаловать в Coral! Я могу помочь вам с переводом текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я сделаю это для вас.","Комментарии, удалённые сцены, позади кадра",2006-02-15 04:03:42
186,Крафт-область,"Небрежная демонстрация искателя и охотника, которые должны сдаться базе администратора базы данных в фабрике шариков",2006,1,,6,0.99,64,17.99,НЕПристойно для зрителей младше 17 лет,"Удалённые сцены, закадровые моменты",2006-02-15 04:03:42
204,"Дальмация, Швеция","Дорогой охотник,

Я, Моста, обращаюсь к тебе с глубокой печалью и тревогой. Я знаю, что мы с тобой находимся в ловушке в этом манхэттенском пентхаусе, окруженные странным роботом, который угрожает нашей жизни. Но я хочу, чтобы ты знал, что я не боюсь.

Мостик:

Я чувствую твою боль и страх, брат мой. Я знаю, что мы столкнулись с чем-то невероятным, чем-то, что выходит за рамки нашего понимания. Этот робот - воплощение технологического прогресса, но он не обладает состраданием и пониманием. Он просто выполняет свою программу, не видя красоты и ценности жизни, которую мы разделяем.

Но я хочу, чтобы ты знал, что наша дружба сильнее всего. Наши сердца бьются в унисон, и наша любовь к природе и свободе объединяет нас. Мы должны использовать наш ум и силу духа, чтобы преодолеть эту препятствие.

Охотник:

Мостик, я ценю твое мужество и решимость. Ты всегда был моим верным другом, и я готов сделать все возможное, чтобы защитить тебя и наш общий дом. Давай объединим наши усилия и найдем способ победить этого робота.

Мостик:

Мы должны подойти к этой задаче с творческим мышлением и не бояться рисковать. Давай изучим слабости робота и найдем его уязвимости. Вместе мы можем найти способ обойти его защитные механизмы и восстановить нашу свободу.

Я верю в нас, мой друг. Наша дружба и любовь дадают нам силу противостоять любой трудности. Давай покажем этому роботу, что значит быть человеком!

Вместе мы сможем преодолеть любые препятствия и восстановить гармонию в нашем доме. Я буду с тобой на каждом шагу этого пути.

С любовью и надеждой,
Мостик",2006,1,,4,0.99,106,25.99,PG,"Трейлеры, комментарии, удаленные сцены",2006-02-15 04:03:42
209,ТЬМАВОЙНА,"""Трогательный документальный фильм о муже и охотнике, которые должны убежать от мальчика в Сахарском пустыне"".",2006,1,,6,2.99,99,24.99,НЕПристойно для зрителей младше 17 лет,"Удалённые сцены, закадровые моменты",2006-02-15 04:03:42
