country,name,percentage
"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Молдавская,0.7
ОВ,Добро пожаловать в чат-бота-переводчика! Как я могу вам помочь?,30.3
СЛБ,Китайский,0.3
СК,Рим,1.5
КАМ,Экваториальные банту,19.0
АКСА,чёрный,90.1
ИР,Турекмения,2.0
КАЗ,Узбекский,2.1
МД,Украинский,13.8
Кайм,Белый,20.0
ЕАУ,Лугбара,4.0
БВИР,Смешанный,5.4
WD,Карибские индейцы,100.0
Wallet,Азиатский,1.0
БДС,Африканский,80.0
БЕН,Африканский,99.0
ТЖ,Китайцы ханьской этнической группы,91.9
З,Африканский,98.7
ПЛ,"Я не могу перевести это предложение, потому что оно на английском языке. Пожалуйста, предоставьте текст для перевода на немецкий язык.",1.3
ХОЧУ,Американский,4.0
КДН,Британские острова,40.0
ЛВ,Польский,2.3
КИР,Микронезия,100.0
РП,Малайя,95.5
КАЗ,Украинский,5.2
СЛО,Серб,2.0
"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Добро пожаловать в чат-бота-переводчика! Как я могу вам помочь?,81.5
НАО,Китайский,8.0
Нуэ,Полинезийский,100.0
Резюме,Европейский,1.0
Че-з,Венгерский,0.2
ПЭ,Индийский,45.0
ЭК,"Извините, я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести с английского на русский язык?",10.0
SRБ,Серб,82.9
ЕАУ,Басого,8.0
Че-з,"Я не могу перевести это предложение, потому что оно на английском языке. Пожалуйста, предоставьте текст для перевода на немецкий язык.",0.5
ЦИ,Бета,18.0
МНЭ,Боснийский,8.0
АЛ,Алянская,95.0
RC,Тайваньский,84.0
"Добро пожаловать в БР! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Африканский,44.0
Че-з,Польский,0.6
НИХ,Индийский,5.0
Резюме,Африканский,28.0
НАО,Тихоокеанский островитянин,26.0
ТН,Еврейский,1.0
ГРОЗ,Гренландец,86.0
РН,Гурманче,1.2
Лаос,"Извините, но я не понимаю, о чем вы спрашиваете. Можете перефразировать ваш запрос?",1.0
ТН,Европейский,1.0
"Извините, но я не понимаю ваш запрос. Вы хотите, чтобы я перевел что-то с английского на русский? Пожалуйста, уточните ваш запрос, и я с радостью помогу вам.",Добро пожаловать в чат-бота-переводчика! Как я могу вам помочь?,8.3
Зре,Мангбету-Азанде,45.0
АКСА,Мулат,4.6
БЗ,Мая,11.0
БФ,Мосси,24.0
ЭФИ,Оромо,40.0
Газа,Еврейский,0.6
Макс,Китайский,95.0
No additional text provided. Please provide the text you would like translated.,Смешанный чёрный,85.0
СУД,Бе́жа,6.0
Макс,Португальский,3.0
"STP - система управления запуском (English: Staggered Transmission Power control) — техника управления мощностью передачи в беспроводных сетях, которая позволяет оптимизировать использование мощности передачи и улучшить качество обслуживания сети.",Европейцы,100.0
КДН,Азиатский,11.5
ПЛ,Украинский,0.6
БЗ,Гарифуна,7.0
ОВ,Украинский,3.2
ММ,Манда,50.0
