circuitid,circuitref,name,location,country,lat,lng,alt,url
1,Альберт-парк,Albert Парк Гран-при,Мельбурн,Австралия,-37.8497,144.968,10.0,Круг Гран-при Мельбурна
2,Сепанг,Сепангский международный трасс,Кuala-Лумпур,Малайзия,2.76083,101.738,,Сепангская международная трасса
3,Бахрейн,Международный трассе Бахрейна,Сахир,Бахрейн,26.0325,50.5106,,http://ru.wikipedia.org/wiki/Бахрейнский_международный_автодром
4,Каталанья,Шоссейный круг Барселоны — Каталонии,Монмело,Испания,41.57,2.26111,,Кирк каталунский-Барселона
5,Стамбул,Стамбульский парк,Стамбул,Турция,40.9517,29.405,,Парк Истабалу
6,Монако,Циркут Монако,Монако,Монако,43.7347,7.42056,,"Circuit de Monaco — это автодром в княжестве Монако, используемый для проведения ежегодной гонки Формулы-1."
7,Вилливиль-но-д'Ассарт,Киркут Жиль Вильнёв,Монреаль,Канада,45.5,-73.5228,,Кирку Гийомена Вильнева
8,магнийный курс,Сиркуит де Невер Магни-Корс,Магни-Курс,Франция,46.8642,3.16361,,"Курс Неверс-Магни-Корс - это гоночная трасса в Франции, расположенная в районе Магни-Корс в департаменте Шарант-Мери-Лорал в Новой Аквитании. Трасса была построена и открыта в 1991 году как круговая трасса длиной 4,260 км (2,644 миль), с 18 поворотами и прямой длинной 1,035 км (643 ярда). В 2002 году было построено дополнительное кольцо длиной 2,772 км (1,724 миль), которое включает в себя новую стартовую прямую и дополнительные повороты. Вместе эти два кольца образуют форму овала."
9,Сильверстоун,Штормвейк,Сильверстоун,Великобритания,52.0786,-1.01694,,Круг Сильверстоун
10,Хоккенхаймринг,Хоккенхайм-ринг,Хоккенайм,Германия,49.3278,8.56583,,Хоккенхаймринг
11,Будапештская кольцевая дорога,Венгрия,Будапешт,Венгрия,47.5789,19.2486,,Хунгариринг
12,Валенсия,Карта трассы Валенсия,Валенсия,Испания,39.4589,-0.331667,,サーキット・デ・バレリアス
13,спа,Спа-Франкоршамп,Спа,Бельгия,50.4372,5.97139,,Спа-Франкоршам
14,Монца,Автоводиленний национальный Монца,Монца,Италия,45.6156,9.28111,,Автофридмо Национале Монца
15,Марина-Бэй,Марина-Бэй-Стрит-Кит,Марина-Бэй,Сингапур,1.2914,103.864,,"Круговая трасса Марина-Бэй на улице Стрит - это круговая трасса для гонок на открытом воздухе, расположенная в районе Марина-Бэй в центре Сингапура. Трасса проходит по улице Стрит, соединяющей район Марина-Бэй с районами Саут-Бэй и Форт-Канинг."
16,фудзи,Фудзи-сакинува,Оямама,Япония,35.3717,138.927,,"Фудзи Спидвей - это автодром в Японии, расположенный в префектуре Шидзуока. Он известен своими уникальными изгибами и поворотами, которые делают его одним из самых требовательных к пилотам трасс в мире. Трасса была построена в 1966 году и с тех пор стала местом проведения множества престижных автогонок, включая Японскую серию гонок «Формулы-3» и Гран-при Японии по гонкам на выносливость. Фудзи Спидвей также известен своими захватывающими видами, которые делают его популярным туристическим направлением."
17,Шанхай,Шанхайская международная трасса,Шанхай,Китай,31.3389,121.22,,Шанхайская международная трасса
18,Интерлагос,Автодром имени Хосе Карлос Пейс,Сан-Паулу,Бразилия,-23.7036,-46.6997,,Автофридамо Хосе Карлос Пейс
19,Индианаполис,Индианаполис Мотор Спидвей,Индианаполис,США,39.795,-86.2347,,Индианаполис Мотор Спидвей
20,Нюрнбургинг,Нюрбургринг,Нюрбург,Германия,50.3356,6.9475,,Нюрбургринг
21,Имола,Автоодром Энзо и Дино Феррари,Имола,Италия,44.3439,11.7167,,Автоудобрения Энцо и Дино Феррари
22,Сузука,Сузука-Циркут,Сузука,Япония,34.8431,136.541,,"Сузука-рэйсинг-карс (англ. Suzuka Circuit) — автодром в Японии, расположенный в префектуре Миэ."
23,Австрия,А1-Ринг,Спилберг,Австрия,47.2197,14.7647,,А1-ринг
24,яс-марина,Яс-Мина-Кёрт,Абудаби,ОАЭ,24.4672,54.6031,,Яс-Марина (Arabия)
25,Галвез,Авто- и мотодром Хуан и Оскар Гальвес,Буенос-Айрес,Аргентина,-34.6943,-58.4593,,Автоодром Оскар Альфредо Гальвес
26,Херес,Циркут де Херенс,Херес-де-ла-Фронтера,Испания,36.7083,-6.03417,,"Кирхера, постоянная трасса"
27,Эсторил,Автомагистраль Эштри,Эсториол,Португалия,38.7506,-9.39417,,Автоудорожие Эшторила
28,Окаяма,Окайама Интернэшнл Сэкинт,Окаяма,Япония,34.915,134.221,,https://ru.wikipedia.org/wiki/TI-карта
29,Аделаида,Аделаидский уличный трасс,Аделаида,Австралия,-34.9272,138.617,,Аделаидский уличный круг
30,Кялами,Кьялами,Мидранд,Южная Африка,-25.9894,28.0767,,Кьялами
31,Донингтон,Донингтон-Парк,Замок Донингтон,Великобритания,52.8306,-1.37528,,"Донингтон-Парк — это автодром, расположенный в Донингтоне, Ноттингемшир, Англия. Он известен тем, что с 1974 по 1986 год принимал Гран-при Великобритании Формулы-1."
32,Родригес,Автоудобная дорога Хермено Родригес,Мексико-Сити,Мексика,19.4042,-99.0907,,Автоодром Херменос Родригес
33,Финикс,Финиксский уличный трасс,Финикс,США,33.4479,-112.075,,Википедия: Пхекз-стрит-картинг
34,Рикард,Кирквуд,Лэ-Кастеллет,Франция,43.2506,5.79167,,Круг Paul Ricard
35,Вижь,Международный круговой автодром,Янгам-гу,Корея,34.7333,126.417,,Кораянский международный трасс
36,Якарепагуа,Автомагистраль Нельсона Пике,Рио-де-Жанейро,Бразилия,-22.9756,-43.395,,Автовыставочный комплекс «Нельсон Пике»
37,Детройт,Детройтский уличный круг,Детройт,США,42.3298,-83.0401,,Улица Детройта
38,бренды_хэтч,Брендс-Хэтч,Кент,Великобритания,51.3569,0.263056,,Брандс Хэтч
39,Зандворт,Паркサーкита Зандворт,Зандворт,Нидерланды,52.3888,4.54092,,Киркузандворт
40,зольдер,Золдер,Хюсден-Золдер,Бельгия,50.9894,5.25694,,Золдер
41,Дижон,Дижон-Преной,Дижон,Франция,47.3625,4.89913,,Дижон-Прено
42,Даллас,Фейр-Парк,Даллас,США,32.7774,-96.7587,,Фир-Парк
43,Длинный пляж,Долгий-Бич,Калифорния,США,33.7651,-118.189,,"Википедия: Лонг-Бич, Калифорния"
44,Las Vegas,Круговая трасса Лас-Вегас,Невада,США,36.1162,-115.174,,"Википедия — это бесплатная интернет-энциклопедия, созданная сообществом пользователей и содержащая информацию о различных темах. Википедия доступна на многих языках, включая русский. Вы можете просмотреть страницу в англоязычной версии, перейдя по ссылке: http://en.wikipedia.org/wiki/Las_Vegas,_Nevada. На этой странице вы найдете подробную информацию о городе Лас-Вегас, штат Невада, США."
45,Ярама,Жарама,Мадрид,Испания,40.6171,-3.58558,,Круговая дорога Харама
46,Ваткинс-Глен,Уаткинс-Глен,Нью-Йоркский штат,США,42.3369,-76.9272,,Ваткинс-Глен Интернэшнл
47,Андерсторп,Скандинавская гоночная трасса,Андерсторп,Швеция,57.2653,13.6042,,Скандинавская гоночная трасса
48,Моспорт,Международный автодром Моспорт,Онтарио,Канада,44.0481,-78.6756,,Моспорт
49,Монжуик,Монжуик,Барселона,Испания,41.3664,2.15167,,"Монжуикский круг — это круг радиусом 675 метров, расположенный на вершине холма Монжуик в Барселоне, Испания. Он был построен в 1874—1878 годах как место проведения национальных выставок и других общественных мероприятий. Сегодня это популярное место для проведения различных мероприятий, включая концерты и спортивные события."
50,Нивелль,Нивеллес-Боулз,Брюссель,Бельгия,50.6211,4.32694,,Нивель-Бауло́рс
51,шутка,Шарада-циркуит,Клермон-Ферран,Франция,45.7472,3.03889,,Шарад-циркуит
52,Тремблант,Кирпичный круговой маршрут Монт-Тремблант,Квебек,Канада,46.1877,-74.6099,,"Кирпичный дом в стиле Ренессанса с 24-метровым куполом и 16-метровыми колоннами, расположенный в Монтрейбэнте, Квебек."
53,эзартс,Руан-レス-Эссар,Руан,Франция,49.3306,1.00458,,Руан-Лесез
54,Леманы,Ле-Ман,Ле-Ман,Франция,47.95,0.224231,,Шоссе де ла Сарт (Circuit de la Sarthe)
55,Реймс,Реймс-Гюе,Реймс,Франция,49.2542,3.93083,,Реймский собор
56,Джордж,Принс-Джордж सरкит,Восточная Кейпская провинция,Южная Африка,-33.0486,27.8736,,Принс-Джордж-Сиркуит
57,Цельтовег,Зельтовег,Стирия,Австрия,47.2039,14.7478,,Аэропорт Зельтовег
58,Аинтрие,Айнтре,Ливерпуль,Великобритания,53.4769,-2.94056,,Анти́нк-Мотор-Рэйндж Гантерз Крикет-Клаб
59,Боа-Виста,Циркиту да Павия,Опорто,Португалия,41.1705,-8.67325,,Круг Бускаста
60,река,Международная трасса Риверсайд,Калифорния,США,33.937,-117.273,,Риверсайд Интернациональный автодром
61,авус,Авус,Берлин,Германия,52.4806,13.2514,,AVУС
62,Монсанто,Монсанто Парк Крикет-Кёрт,Лиссабон,Португалия,38.7197,-9.20306,,Конный круг в парке Монсанто
63,Себринг,Северинг интернационл рэйвью,Флорида,США,27.4547,-81.3483,,Зарядный автодром Себринга
64,аиндьяб,Айн-Диб,Кашебланка,Марокко,33.5786,-7.6875,,Аин-Диябский круговой путь
65,Пескара,Круг Пескары,Пескара,Италия,42.475,14.1508,,Пескара-циркуит
66,Бреггартен,Шоссейная круговая дорога Бремгартен,Берн,Швейцария,46.9589,7.40194,,Circuit Bremgarten
67,Педральбес,Кирпичный комплекс Педралбес,Барселона,Испания,41.3903,2.11667,,"Шоссе Педралбес — это круговая дорога в Барселоне, Испания, которая окружает центр города и соединяет несколько важных автомагистралей. Он проходит через район Педралбес и предлагает удобный доступ к различным достопримечательностям и районам Барселоны. Дорога известна своими красивыми видами на город и архитектуру Гауди."
68,буддизм,Международный трассир Будды,Утар-Прадеш,Индия,28.3487,77.5331,,"Силам поехать на Гран-при Японии 2019 года в Сузуке, Япония"
69,Америки,Кольцо Америки,Остин,США,30.1328,-97.6411,,Циркут Америк
70,ринк Ред Булл,Ред Булл Ринг,Спилберг,Австрия,47.2197,14.7647,,Рэд-Булл-Ринг
71,Сочи,Сочи Автодром,Сочи,Россия,43.4057,39.9578,,Автодром в Сочи
72,Имперский порт,Уличная трасса Порт-Империал,Нью-Джерси,США,40.7769,-74.0111,,https://ru.wikipedia.org/wiki/Империйский_уличный_рок
73,БАК,Бакурислинг,Баку,Азербайджан,40.3725,49.8533,,Бакинский городской трасс
