constructorid,constructorref,name,nationality,url
4,Рено,Рено,Je suis une chatbot tradutrice professionnelle. Je peux traduire de l'anglais vers le russe et vice versa. Veuillez fournir le texte à traduire.,Рено F1
5,Торо Россо,Торо Россо,Итальянский,"Формульная команда «Скудерия Торо Россо» (англ. Scuderia Toro Rosso; досл. «Скудрия Торо Россо», буквально: «Красный конь») — команда Формулы-1, базирующаяся в Ферарре, Италия. В 2005 году команда дебютировала в чемпионате мира по автогонкам в классе Формула-1 под эгидой Fédération Internationale de l'Automobile (FIA). Название команды происходит от итальянских слов «Toro» (конь) и «Rosso» (красный), что отражает красную цветовую схему машин и логотипа команды."
18,Миниарди,Минарди,Итальянский,Минарди
24,Стюарт,Стюарт,Британский,Гран-при Стюарта
36,фондемал,Фондметал,Итальянский,Фондметалл
55,Теодор,Теодор,Гонконг,Тедесбери
61,Каухсен,Каухсен,Я не говорю по-немецки. Я могу помочь с переводом с английского на немецкий или с любого другого языка на английский.,Каухсен
62,Реба́ке,Ребаке,Мексиканский,Ребаке
66,брм,BRM,Британский,https://ru.wikipedia.org/wiki/БРМ
67,Пенске,Пенске,Американский,https://ru.wikipedia.org/wiki/Пенске_Рэйсинг
69,Макгуайер,Мьюзигер,Австралийский,Макгире (Формулу-1)
76,Линкар,Линкар,Британский,"Линкар (Lyncar) — британская компания, производящая автомобили"
86,Томасо,Де Томазо,Итальянский,Дэ-Томасо
87,сотрудничество,Купер,Британский,Википедия: Компания по производству автомобилей Купер
99,Эмерсон,Эмерсон,Британский,Эмерсон
101,"Извините, но я не понимаю ваш запрос. Пожалуйста, уточните ваш вопрос или предоставьте дополнительный контекст, чтобы я могла помочь вам лучше.",Джи-би-двойной-у,Британский,Джабвэ
104,Бехра-Пورشе,Бехра-Пошче,Итальянский,Бехра-Пошче
134,Шрёдер,Шройдер,Американский,Шрёдер (конструктор)
136,Панкратз,Панкрат,Американский,Панкратц
141,Симка,Симка,Je suis une chatbot tradutrice professionnelle. Je peux traduire de l'anglais vers le russe et vice versa. Veuillez fournir le texte à traduire.,Симка
145,БएमВ,БМВ,Я не говорю по-немецки. Я могу помочь с переводом с английского на немецкий или с любого другого языка на английский.,https://ru.wikipedia.org/wiki/BMW
149,Шерман,Шерман,Американский,Шерман (конструктор)
156,Марчезе,Марчесе,Американский,Марчезе ( конструктор )
161,Адамс,Адамс,Американский,Конструктор Адамс
176,Лотус-BRM,Лотус-БРМ,Британский,https://ru.wikipedia.org/wiki/Команда_«Лотус»
180,лотос-форд,Лотус-Форд,Британский,https://ru.wikipedia.org/wiki/Команда_«Лотус»
203,шадо-матра,Шаддуматра,Британский,Расширенная история гоночных автомобилей Шэдоу
208,Лотус F1,Лотус F1,Британский,Википедия: Lotus F1
