city,province,country,island
Гертфорд,гертфордшир,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Великая Британия
Меридит-Тудфил,Меридит-Тудфил,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Великая Британия
Пангалипэнган,Индонезия,Ри,Бангка
Лангефни,Анґлсі,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Анґлсі
Сетон-Ноу,Кент,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Великая Британия
Бристоль,Восточный Сассекс,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Великая Британия
Саутгемптон,Хампшир,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Великая Британия
Окаяма,Окаяма,Привет! Как твои дела?,Хонсю
Рутин,Денбишир,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Великая Британия
Сан-Хуан,Пуэрто-Рико,ПР,Пуэрто-Рико
Ланддудно,Поуис,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Великая Британия
Банда-Ачех,Индонезия,Ри,Суматра
Пекалонген,Индонезия,Ри,Джа́ва
Сува,Фиджи,Фиджи,Вити Леву
Ливерпуль,Мерсисайд,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Великая Британия
Нижне-Терр,Гваделупа,ГУАД,Нижне-Терр
Аяччо,Корсика,Ф,Корсика
Сан-Клара,Вилла-Клара,C,Куба
Эбв-Вэйл,Бленнау Гвинт,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Великая Британия
Колония,Микронезия,ФШМ,Понапе
Мэбаси,Гумма,Привет! Как твои дела?,Хонсю
Ямагата,Ямагата,Привет! Как твои дела?,Хонсю
Гуантанамо,Гуантанамо,C,Куба
Торсхавн,Фарерские острова,Фаркс,Стремой
Семаранг,Индонезия,Ри,Джа́ва
Джеймстаун,Сант-Элену,ХЭЛКС,Сант-Элену
Магеллан,Индонезия,Ри,Джа́ва
Кантербери,Кент,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Великая Британия
Ци́гого де Авила,Ци́гого де Авила,C,Куба
Мацуяма,Эхиме,Привет! Как твои дела?,Шикоку
Санья,Хайнань,ТЖ,Хайнань
Фэрфакс,Хампшир,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Великая Британия
Кру,Чешир,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Великая Британия
Понтянак,Индонезия,Ри,Бали
Понтас-Делага,Азорские острова,П,Сан-Мигель
Нассу,Бахамские острова,БС,Новый Провиденс
Эмбридж,Сёррей,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Великая Британия
Кефлавик,Исландия,"О""Б",Исландия
Маджуро,Маршальные острова,МХ,Маджуро
Нагано,Нагано,Привет! Как твои дела?,Хонсю
Беверли,Хамберсид,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Великая Британия
Слуг,Бёркшир,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Великая Британия
Милтон-Кинс,Букингемшир,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Великая Британия
Глостер,Глостершир,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Великая Британия
Урава,Сайтама,Привет! Как твои дела?,Хонсю
Матлок,Дербишир,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Великая Британия
Окленд,Новая Зеландия,Новая Зеландия,Тэ Ика-а-Мауи (Северный остров)
Уджунг-Панданг,Индонезия,Ри,Султавесси
Анциранана,Анциранана,RМ,Мадагаскар
Виктория де лас Тунас,Лас-Тунас,C,Куба
Норвич,Норфолк,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Великая Британия
Бинджаи,Индонезия,Ри,Суматра
Санта-Крус-де-Тенерифе,Канари́ские о́рганы,"Добро пожаловать в Coral! Я могу помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я с радостью предоставлю вам точный перевод.",Тенериффа
Замбоанг,Филиппины,РП,Минданао
Фукусима,Фукусима,Привет! Как твои дела?,Хонсю
Баликпапан,Индонезия,Ри,Бали
Сурабая,Индонезия,Ри,Джа́ва
Бейамо,Гранма,C,Куба
Панчьяо,Тайвань,RC,Тайвань
Понтипул,Торфеен,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Великая Британия
Кингс-Линн,Норфолк,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Великая Британия
Ротерхит,Южный Йоркшир,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Великая Британия
Форт-де-Франс,Мартиника,МАРТ,Мартиника
Дублин,Ирландия,В реальной жизни,Ирландия
Мытилини,Вореион Айайон,ГР,Лесбос
Дуглас,Человек,ГBM,Остров Мэн
Виктория,Мальта,М,Гозо
Данди,Тайсайд,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Великая Британия
Саппоро,Хоккайдо,Привет! Как твои дела?,Хоккайдо
Дортмут,Дортленд,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Великая Британия
Кочи,Кочи,Привет! Как твои дела?,Шикоку
Майдстон,Кент,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Великая Британия
Уцоно-мия,Тоучи,Привет! Как твои дела?,Хонсю
Kingston,Остров Норфолк,НОРФ,Остров Норфолк
Фукуока,Фукуока,Привет! Как твои дела?,Кюсю
Тунбридж-Уэллс,Кент,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Великая Британия
Фунафути,Тувалу,ТУВ,Фонгафале
Ньюкасл-апон-Тайн,Тайн и Уир,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Великая Британия
Кагаян-де-Оро,Филиппины,РП,Минданао
Крайстчерч,Новая Зеландия,Новая Зеландия,Тэ Вака-а-Мауи (Южный остров)
Норталлертон,Северный Йоркшир,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Великая Британия
Южно-Сахалинск,Сахалинская область,Р,Сахалин
Гейтсхед,Тайн и Уир,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Великая Британия
Сент-Хелир,Джерси,"Я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",Джерси
Паси,Филиппины,РП,Люзон
Порт-Вилла,Вануат,ВУ,Эфате
Карлайл,Кумбрия,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Великая Британия
