river,country,province
Мας,"Ok, I'm ready to translate from English to Russian. Please provide the text you would like me to translate.",Северная Брабантская область
Детройтская река,КГП,Онтарио
Река Святого Лаврентия,КГП,Кبک
Дуро,П,Порту
Ква,ЗРЕ,Бандунду
Рио Магдалена,Код,Атлантико
Жёкулсёфьорд,Что?,Исландия
Новое,"""R"" переводится с английского как ""R"".",Лeningрадская область
Эбро,Здравствуйте! Как я могу вам помочь?,Каталан
Касаи,ЗРЕ,Бандунду
Бене,ВАН,Нигерия
Оулуйоки,SF,Ульянск
Парагвай,РП,Чако
Ока,"""R"" переводится с английского как ""R"".",Нижняя Новгородская область
Луалаба,ЗРЕ,Верхняя Заир
Нил,ET,Эль-Бухаира
Далаэлв,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Уппсала
Мюррей-Дэрлинг,Австралия,Южная Австралия
Ваал,РСА,Северный Кейп
Адда,я,Ломбардия
Атбара,"Это что-то вроде ""sud"" по-русски?",Аш-Шамали́я
Миссури,США,Миссури
сея,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Высокая Нормандия
