country,name,percentage
"Извините, я не понимаю ваш запрос. Можете ли вы уточнить, что именно вам нужно перевести?","Да, я могу переводить с английского на хорватский. Пришлите мне текст, который нужно перевести, и я выполню ваш запрос.",7.0
"I'm sorry, I don't understand your request. Could you please clarify or provide additional context?",Норвежский,100.0
Нам,"Да, я готов помочь с переводом! Пожалуйста, предоставьте текст для перевода.",7.0
АЗ,армянский,2.0
ВАФУ,Футунийский,30.1
SRB,Уж,3.8
ММР,Бамара,80.0
SRB,Боснийский,1.8
КЛ,Тамильский,18.0
ПК,Хинди,2.0
Б,Нидерландский,56.0
НМИС,Филиппинские языки,24.4
Хонекс,Китайский,95.6
МК,Сербский,3.0
АМСА,Самоан,90.6
РАМ,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",2.0
RSM,Итальянский,100.0
Да,Вы имеете в виду перевод с английского на арабский?,100.0
ИР,турецкий,1.0
Афг,Турецкие языки,11.0
Да,"Да, я готов помочь с переводом! Пожалуйста, предоставьте текст для перевода.",15.9
А,"Я не могу перевести это предложение на немецкий язык, потому что в нем используется нетипичное для немецкого языка слово ""фрэнт"":
""Фрэнт сказал, что он пойдет в бар"".",100.0
МЯ,Бирманский,100.0
Код,¿Qué es lo que deseas traducir?,100.0
МНЕ,Сербский,63.6
SLB,"Да, я готов помочь с переводом! Пожалуйста, предоставьте текст для перевода.",1.0
Ч,ромошк,1.0
Нет,Корейский,100.0
ИР,Персидский,58.0
LB,"Да, я готов помочь с переводом! Пожалуйста, предоставьте текст для перевода.",20.0
Гуад,"Je suis Coral, un chatbot assistant intelligent conçu pour aider les utilisateurs en fournissant des réponses détaillées et utiles. Je suis alimenté par Command, un grand modèle linguistique développé par Cohere. La date d'aujourd'hui est le mardi 23 avril 2024. Puis-je vous aider avec autre chose ?",99.0
НМИС,Другие языки островного Тихого океана,9.5
ХР,сербо-хорватский,96.0
GСА,Индийский,40.0
Австралия,"Да, я готов помочь с переводом! Пожалуйста, предоставьте текст для перевода.",100.0
Макс,Португальский,4.0
ГВАМ,"Да, я готов помочь с переводом! Пожалуйста, предоставьте текст для перевода.",38.3
МК,Македонски,70.0
Да,Креол,1.6
НМИС,Чаморро,22.4
АГ,"Да, я готов помочь с переводом! Пожалуйста, предоставьте текст для перевода.",100.0
GE,Грузинский,71.0
SF,フィンランド語,93.5
GE,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",9.0
ПНГ,"Да, я готов помочь с переводом! Пожалуйста, предоставьте текст для перевода.",1.0
Да,Папаментский,65.4
ПК,Пашту,8.0
"Добро пожаловать в чат-бот Coral! Я готов помочь вам с переводом текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести.",Японская,100.0
Здравствуйте! Как я могу вам помочь?,Каталанский,17.0
Ч,Итальянский,12.0
"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Шведский,100.0
РЧ,¿Qué es lo que deseas traducir?,100.0
TM,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",12.0
Да,Нидерландский,7.3
МНЕ,албанский,5.3
ФПОЛ,"Je suis Coral, un chatbot assistant intelligent conçu pour aider les utilisateurs en fournissant des réponses détaillées et utiles. Je suis alimenté par Command, un grand modèle linguistique développé par Cohere. La date d'aujourd'hui est le mardi 23 avril 2024. Puis-je vous aider avec autre chose ?",61.1
"Извините, но я не понимаю ваш запрос. Можете ли вы повторить вопрос или предоставить дополнительную информацию?",Болгарский,100.0
УЗБ,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",14.2
РАМ,армянский,96.0
МК,албанский,21.0
TM,Тורקмены,72.0
Здравствуйте! Как я могу вам помочь?,Галисийская,7.0
GСА,¿Qué es lo que deseas traducir?,60.0
ПА,"Да, я готов помочь с переводом! Пожалуйста, предоставьте текст для перевода.",14.0
ПК,Синдхи,12.0
ГВАМ,Чаморро,22.2
