playerid,coachid,hofid,firstname,lastname,namenote,namegiven,namenick,height,weight,shootcatch,legendsid,ihdbid,hrefid,firstnhl,lastnhl,firstwha,lastwha,pos,birthyear,birthmon,birthday,birthcountry,birthstate,birthcity,deathyear,deathmon,deathday,deathcountry,deathstate,deathcity
hynesda01,,,Дэйв,Гайнес,,Давид Э.,,69,182,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",13051,6645,hynesda01,1973,1974,1976,1976,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",1951,4,17,США,МА,Кембридж,,,,,,
willito01,,,Томми,Уильямс,,Томас Марк,Бомбер/Вандербильт,71,180,Р,14692,5742,willito01,1961,1975,1972,1973,С,1940,4,17,США,"MN - ""Минимальная 전국альная зарплата""",Дулут,1992,2,8,,,
,,ruttaja01h,Джек,Руттан,,,,,,,P196217,,ruttaja01,,,,,Да,1889,4,5,Канада,МБ,Виннипег,1973,1,7,,,
staplpa01,staplpa01c,,Пэт,Стэптон,,Патрик Джеймс,Белый,68,180,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",14432,5146,staplpa01,1961,1972,1973,1977,Да,1940,7,4,Канада,Да,Сарния,,,,,,
dufouma01,,,Марк,Дуфур,,Марк Карол,,72,175,Р,12501,6781,dufouma01,1963,1968,,,Р,1941,9,11,Канада,КВ,Три-Ривiere,,,,,,
klinkro01,,,Роб,Клингхаммер,,,,75,206,,,,klinkro01,2010,2011,,,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",1986,8,12,Канада,АБ,Летбридж,,,,,,
milleaa01,,,Аарон,Миллер,,Аарон Майкл,,75,218,Р,11116,3719,milleaa01,1993,2007,,,Да,1971,8,11,США,Нью-Йорк,Баффало,,,,,,
lochebi01,,,Билл,Локхед,,Уильям Александр,Рычаг,73,195,Р,13405,3173,lochebi01,1974,1979,,,"Даже если вы не знаете, что это такое, я могу объяснить.",1954,10,13,Канада,Да,Лес,,,,,,
coleda01,,,Дантон,Коль,,Дантон Эдвард,,71,185,Р,10279,1047,coleda01,1989,1995,,,Р,1967,1,10,США,МИ,Понтий,,,,,,
gilbegr01,gilbegr01c,,Грег,Гилберт,,Грегори Скотт,,73,191,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",10532,1902,gilbegr01,1981,1995,,,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",1962,1,22,Канада,Да,Миссисага,,,,,,
conroal01,,,Ал,Конрой,,Аллан Джон,,68,170,Р,10286,1077,conroal01,1991,1993,,,С,1966,1,17,Канада,АБ,Калькутта,,,,,,
