lahmanid,playerid,managerid,hofid,birthyear,birthmonth,birthday,birthcountry,birthstate,birthcity,deathyear,deathmonth,deathday,deathcountry,deathstate,deathcity,namefirst,namelast,namenote,namegiven,namenick,weight,height,bats,throws,debut,finalgame,college,lahman40id,lahman45id,retroid,holtzid,bbrefid
38,acklefr01,,,1937.0,4.0,10.0,США,ВИ,Хейвуд,2002.0,5.0,22.0,США,MN — МН,Дулут,Фриц,Аклэй,,Флоран Фредерик,,202.0,73.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",R,9/21/1963,5/9/1964,,acklefr01,acklefr01,acklf101,acklefr01,acklefr01
47,adamsac01,,,1910.0,3.0,2.0,США,Калифорния,Виллы,2006.0,2.0,26.0,США,GA,Альбани,Асье,Адамс,,Асье Таунсенд,,182.0,70.0,R,R,4/15/1941,4/24/1946,,adamsac01,adamsac01,adama101,adamsac01,adamsac01
69,adamssp02,,,1898.0,6.0,21.0,США,УТ,Лейтон,1970.0,11.0,24.0,США,УТ,Солт-Лейк-Сити,Спенсер,Адамс,,Спенсер Дьюи,,158.0,69.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",R,5/8/1923,10/2/1927,,adamssp02,adamssp02,adams102,adamssp02,adamssp02
77,adducji01,,,1959.0,8.0,9.0,США,ИЛ,Чикаго,,,,,,,Джим,Добавить,,Джеймс Дэвид,,200.0,77.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.","Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",9/12/1983,7/26/1989,Южный Иллинойс,adducji01,adducji01,adduj001,adducji01,adducji01
78,addybo01,addybo01m,,1845.0,2.0,,США,Нью-Йорк,Рочестер,1910.0,4.0,9.0,США,Какой-то ID?,Покаотелло,Боб,Адди,,Роберт Эдвард,Магнет,160.0,68.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.","Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",5/6/1871,,,addybo01,addybo01,addyb101,addybo01,addybo01
86,adlesda01,,,1943.0,7.0,15.0,США,Калифорния,Долгий-Бич,,,,,,,Дэйв,Адлеш,,Дэвид Джордж,,187.0,72.0,R,R,5/12/1963,9/28/1968,,adlesda01,adlesda01,adled101,adlesda01,adlesda01
90,agganha01,,,1929.0,4.0,20.0,США,МА,Линн,1955.0,6.0,27.0,США,МА,Кембридж,Гарри,Аганис,,Аристотель Георгий,Золотой Грек,200.0,74.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.","Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",4/13/1954,6/2/1955,,agganha01,agganha01,aggah101,agganha01,agganha01
103,aitchra01,,,1887.0,12.0,5.0,США,"Извините, я не понимаю ваш запрос. Можете ли вы предоставить дополнительную информацию или контекст?",Тиндалл,1958.0,9.0,26.0,США,К,Колумбус,Рали,Аитчисон,,Ралле Леонард,,175.0,71.0,R,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",4/19/1911,6/20/1915,,aitchra01,aitchra01,aitcr101,aitchra01,aitchra01
107,akerfda01,,,1962.0,6.0,12.0,США,К,Денвер,,,,,,,Даррелл,Акерфельдс,,Даррел Уэйн,,210.0,74.0,R,R,8/1/1986,7/2/1991,Арканзас,akerfda01,akerfda01,akerd001,akerfda01,akerfda01
113,alberbu01,,,1950.0,5.0,4.0,США,ПА,Уильямспорт,,,,,,,Бутч,Альберты,,Франсис Берт,,205.0,74.0,R,R,9/7/1978,9/28/1978,Цинциннати,alberbu01,alberbu01,albeb101,alberbu01,alberbu01
