river,country,province
Дрин,АЛ,Албания
Гётэ Аэльв,Добро пожаловать в Киберпанк 2077! Как я могу вам помочь?,Альсборг
Сирдаржа,ТАД,Худжанд
Гвадиан,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Кастилия-ла-Манча
Западная Моравия,SRB,Сербия
Олт,Ро,Харгита
Люва,ЗРЕ,Шаба/Катанга
Атбаара,ЭФИР,Эфиопия
Вольта,БФ,Буркина-Фасо
Фульда,"Доброго дня! Я готов допомогти вам з перекладу. Будь ласка, надайте текст, який потрібно перекласти.",Гессен
Теннесси,США,Северная Каролина
Ога-река,США,Пенсильвания
Маникугакан,КДН,Квебек
Вуокса,SF,Кими
Рейн,Ч,"Добро пожаловать в GR! Я готов помочь вам с переводом или ответить на любые вопросы, которые у вас могут возникнуть. Пожалуйста, предоставьте текст, который нужно перевести, и я сделаю это как можно более точно и естественно звучащим по-русски."
Рёсс,Ч,ER
Иравади,ТЖ,Тибет
Тибер,я,Умбрия
Бусира,ЗРЕ,Экватор
Мур,А,Зальцбург
Ква,ЗРЕ,Бандунду
Западная Двина,Р,Смоленская область
Индус,ТЖ,Тибет
Днепр,Р,Смоленская область
Морава,CZ,Южный
Бене,КАМ,Север
Тичино,Ч,ТI
Ганг,ТЖ,Тибет
Брег,"Доброго дня! Я готов допомогти вам з перекладу. Будь ласка, надайте текст, який потрібно перекласти.",Баден-Вюртемберг
Амазонка,ПЭ,Куско
Заир,ЗРЕ,Верхняя Заир
Ниагарский реч,США,Нью-Йорк
Инн,Ч,"Добро пожаловать в GR! Я готов помочь вам с переводом или ответить на любые вопросы, которые у вас могут возникнуть. Пожалуйста, предоставьте текст, который нужно перевести, и я сделаю это как можно более точно и естественно звучащим по-русски."
Виктория Нил,ВЭА,Уганда
Марн,"Да, я могу переводить с английского на русский. Пожалуйста, предоставьте текст, который вы хотите перевести.",Шампань-Арденн
Улуйоки,SF,Улуа
Здравствуйте!,МВ,Малави
Новый,Р,Ленингтонская область
Клараэльв,"Да, конечно! Я всегда рад помочь. Какой текст вы хотите перевести?",Хедемарк
Таджикстан,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Кастилия-ла-Манча
Хванго,ТЖ,Чунхэй
Рузиз,АВР,Руанда
Луара,"Да, я могу переводить с английского на русский. Пожалуйста, предоставьте текст, который вы хотите перевести.",Рона-Альпы
Ваал,RSA,Мпумаланга
Некар,"Доброго дня! Я готов допомогти вам з перекладу. Будь ласка, надайте текст, який потрібно перекласти.",Баден-Вюртемберг
Река Нельсон,КДН,Манитоба
Парана,Б,Минас-Жераис
Одер,CZ,Североморфский
Энны,А,Нижняя Австрия
Альцгеймера,"Доброго дня! Я готов допомогти вам з перекладу. Будь ласка, надайте текст, який потрібно перекласти.",Бавария
Эцх,я,Трентино-Альто-Адидже
Река Коннектикут,США,Нью-Гэмпшир
Дунай,"Доброго дня! Я готов допомогти вам з перекладу. Будь ласка, надайте текст, який потрібно перекласти.",Баден-Вюртемберг
Кванго,Анг,Малаенже
Тисс,UA,Чернивецкая
Мурренбиджи Ривер,Австралия,Новый Южный Уэльс
Сохранять,スロ,Словения
Ривьер-Ришелье,КДН,Квебек
Замбеци,Z,Луапула
Мурат,ТР,Агри
Салзах,А,Зальцбург
Иртыш,Казахстан,Шыги́ш Казахстан
Карасу,ТР,Эрьзюм
Бому,ЗРЕ,Верхняя Заир
Иллер,А,Форарльберг
Основная,"Доброго дня! Я готов допомогти вам з перекладу. Будь ласка, надайте текст, який потрібно перекласти.",Бавария
Рон,Ч,ВС
Ниагарский реч,КДН,Онтарио
Руки,ЗРЕ,Экватор
Альлегени,США,Пенсильвания
Рузиз,ЗРЕ,Киву
Ашана,РИ,Индонезия
Аргун,ТЖ,Хэилянь
Бригач,"Доброго дня! Я готов допомогти вам з перекладу. Будь ласка, надайте текст, який потрібно перекласти.",Баден-Вюртемберг
Южная Моравия,Мк,Македония
Оунасйоки,SF,Лаппия
Арувими,ЗРЕ,Верхняя Заир
Дуабс,"Да, я могу переводить с английского на русский. Пожалуйста, предоставьте текст, который вы хотите перевести.",Франш-Конте
Река Юкон,КДН,Территория Юкон
Пандш,ТАД,Бадахшони Куни
Тоболь,Р,Оренбургская область
Парагвай,Б,Мато-Гросо
Акагера,АВР,Руанда
Луапула,Z,Луапула
Аммер,"Доброго дня! Я готов допомогти вам з перекладу. Будь ласка, надайте текст, який потрібно перекласти.",Бавария
Река Детройт,КДН,Онтарио
Пецфора,Р,Республика Коми
Трюки-река,США,Калифорния
Карун,Ярко,Эсфахан
Чатанга,Р,Красноярский край
Рио-Негро,К,Гвайня
Раб,А,Стирия
Рио-Деса-Гвадэ,Добл,Боливия
Нигер,РГ,Гвинея
Дорогая река,Австралия,Квинсленд
Верра,"Доброго дня! Я готов допомогти вам з перекладу. Будь ласка, надайте текст, який потрібно перекласти.",Тюрингия
Масс,"Да, я могу переводить с английского на русский. Пожалуйста, предоставьте текст, который вы хотите перевести.",Шампань-Арденн
Нарин,КГЗ,Киргизстан
Мюррей-Дэрлинг,Австралия,Виктория
Лиммат,Ч,"Здравствуйте! Я - профессиональ-
ный переводчик и с радостью помогу Вам перевести Ваш текст с английского на русский язык. Пожалуйста, предоставьте мне текст, который Вы хотите перевести, и я сделаю это как можно скорее!"
Рио Мадейра,Добл,Боливия
Арканзас,США,Кольорадо
Лукенье,ЗРЕ,Восточный Касай
Дро,я,Трентино-Альто-Адидже
Кокемайенджоки,SF,Ту́ρκу-Пори
Северная Двина,Р,Вологодская область
Лулуа,ЗРЕ,Шаба/Катанга
Днестр,UA,Львовская
Рио-Гранде,США,Кольорадо
Худсон-Ривер,США,Нью-Йорк
Везер,"Доброго дня! Я готов допомогти вам з перекладу. Будь ласка, надайте текст, який потрібно перекласти.",Нижняя Саксония
Джангtse,ТЖ,Чунхэй
Ангара,Р,Республика Бурятия
Брахмапутра,ТЖ,Тибет
Мёзель,"Да, я могу переводить с английского на русский. Пожалуйста, предоставьте текст, который вы хотите перевести.",Лотарингия
Люкага,ЗРЕ,Шаба/Катанга
Рио Магдалена,К,Хуила
Гамбия,РГ,Гвинея
Санга,АВТ,Центральная Африканская Республика
Бани,ЦИ,Кот-д'Ивуар
Остердалаэлв,Добро пожаловать в Киберпанк 2077! Как я могу вам помочь?,Даларна
Эльба,CZ,Вычедокский
Амударья,ТАД,Хатлон
Энны,А,Верхняя Австрия
Его,"Да, я могу переводить с английского на русский. Пожалуйста, предоставьте текст, который вы хотите перевести.",Бурбонская область
Моравия,SRB,Сербия
Шари,АВТ,Центральная Африканская Республика
